chem_index	gene_index	chemName	geneid
10	0	Aflatoxin B1	6566
17	0	Arsenic	6566
59	0	butyraldehyde	6566
65	0	cobaltous chloride	6566
73	0	ICG 001	6566
98	0	dicrotophos	6566
121	0	tris(1,3-dichloro-2-propyl)phosphate	6566
141	0	Phenylmercuric Acetate	6566
144	0	Arsenic Trioxide	6566
149	0	Silicon Dioxide	6566
166	0	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	6566
178	0	Lead	6566
185	0	Benzo(a)pyrene	6566
186	0	abrine	6566
9	1	methylmercuric chloride	6581
17	1	Arsenic	6581
23	1	Nickel	6581
73	1	ICG 001	6581
98	1	dicrotophos	6581
129	1	Methyl Methanesulfonate	6581
141	1	Phenylmercuric Acetate	6581
144	1	Arsenic Trioxide	6581
150	1	potassium chromate(VI)	6581
166	1	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	6581
178	1	Lead	6581
186	1	abrine	6581
187	1	sodium arsenite	6581
9	2	methylmercuric chloride	366
23	2	Nickel	366
59	2	butyraldehyde	366
65	2	cobaltous chloride	366
73	2	ICG 001	366
98	2	dicrotophos	366
121	2	tris(1,3-dichloro-2-propyl)phosphate	366
129	2	Methyl Methanesulfonate	366
141	2	Phenylmercuric Acetate	366
149	2	Silicon Dioxide	366
150	2	potassium chromate(VI)	366
166	2	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	366
178	2	Lead	366
73	3	ICG 001	3569
98	3	dicrotophos	3569
121	3	tris(1,3-dichloro-2-propyl)phosphate	3569
178	3	Lead	3569
9	4	methylmercuric chloride	10599
23	4	Nickel	10599
65	4	cobaltous chloride	10599
73	4	ICG 001	10599
98	4	dicrotophos	10599
121	4	tris(1,3-dichloro-2-propyl)phosphate	10599
129	4	Methyl Methanesulfonate	10599
141	4	Phenylmercuric Acetate	10599
144	4	Arsenic Trioxide	10599
150	4	potassium chromate(VI)	10599
166	4	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	10599
178	4	Lead	10599
59	6	butyraldehyde	1728
73	6	ICG 001	1728
98	6	dicrotophos	1728
9	10	methylmercuric chloride	5300
10	10	Aflatoxin B1	5300
17	10	Arsenic	5300
23	10	Nickel	5300
55	10	Tetrachlorodibenzodioxin	5300
59	10	butyraldehyde	5300
65	10	cobaltous chloride	5300
73	10	ICG 001	5300
98	10	dicrotophos	5300
121	10	tris(1,3-dichloro-2-propyl)phosphate	5300
129	10	Methyl Methanesulfonate	5300
141	10	Phenylmercuric Acetate	5300
149	10	Silicon Dioxide	5300
150	10	potassium chromate(VI)	5300
166	10	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	5300
178	10	Lead	5300
185	10	Benzo(a)pyrene	5300
186	10	abrine	5300
187	10	sodium arsenite	5300
9	13	methylmercuric chloride	8678
10	13	Aflatoxin B1	8678
23	13	Nickel	8678
55	13	Tetrachlorodibenzodioxin	8678
59	13	butyraldehyde	8678
73	13	ICG 001	8678
98	13	dicrotophos	8678
129	13	Methyl Methanesulfonate	8678
141	13	Phenylmercuric Acetate	8678
149	13	Silicon Dioxide	8678
150	13	potassium chromate(VI)	8678
166	13	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	8678
178	13	Lead	8678
186	13	abrine	8678
9	14	methylmercuric chloride	332
55	14	Tetrachlorodibenzodioxin	332
59	14	butyraldehyde	332
73	14	ICG 001	332
98	14	dicrotophos	332
129	14	Methyl Methanesulfonate	332
149	14	Silicon Dioxide	332
150	14	potassium chromate(VI)	332
178	14	Lead	332
186	14	abrine	332
9	15	methylmercuric chloride	5468
59	15	butyraldehyde	5468
73	15	ICG 001	5468
98	15	dicrotophos	5468
129	15	Methyl Methanesulfonate	5468
141	15	Phenylmercuric Acetate	5468
150	15	potassium chromate(VI)	5468
178	15	Lead	5468
9	17	methylmercuric chloride	1890
10	17	Aflatoxin B1	1890
17	17	Arsenic	1890
55	17	Tetrachlorodibenzodioxin	1890
59	17	butyraldehyde	1890
65	17	cobaltous chloride	1890
73	17	ICG 001	1890
98	17	dicrotophos	1890
121	17	tris(1,3-dichloro-2-propyl)phosphate	1890
129	17	Methyl Methanesulfonate	1890
141	17	Phenylmercuric Acetate	1890
150	17	potassium chromate(VI)	1890
166	17	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	1890
178	17	Lead	1890
185	17	Benzo(a)pyrene	1890
187	17	sodium arsenite	1890
10	19	Aflatoxin B1	9241
17	19	Arsenic	9241
55	19	Tetrachlorodibenzodioxin	9241
65	19	cobaltous chloride	9241
73	19	ICG 001	9241
98	19	dicrotophos	9241
121	19	tris(1,3-dichloro-2-propyl)phosphate	9241
129	19	Methyl Methanesulfonate	9241
144	19	Arsenic Trioxide	9241
149	19	Silicon Dioxide	9241
150	19	potassium chromate(VI)	9241
166	19	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	9241
9	21	methylmercuric chloride	842
59	21	butyraldehyde	842
98	21	dicrotophos	842
129	21	Methyl Methanesulfonate	842
141	21	Phenylmercuric Acetate	842
150	21	potassium chromate(VI)	842
186	21	abrine	842
17	23	Arsenic	1950
59	23	butyraldehyde	1950
73	23	ICG 001	1950
98	23	dicrotophos	1950
121	23	tris(1,3-dichloro-2-propyl)phosphate	1950
129	23	Methyl Methanesulfonate	1950
149	23	Silicon Dioxide	1950
150	23	potassium chromate(VI)	1950
166	23	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	1950
178	23	Lead	1950
185	23	Benzo(a)pyrene	1950
186	23	abrine	1950
9	24	methylmercuric chloride	4170
59	24	butyraldehyde	4170
73	24	ICG 001	4170
98	24	dicrotophos	4170
129	24	Methyl Methanesulfonate	4170
141	24	Phenylmercuric Acetate	4170
149	24	Silicon Dioxide	4170
178	24	Lead	4170
9	25	methylmercuric chloride	4363
55	25	Tetrachlorodibenzodioxin	4363
65	25	cobaltous chloride	4363
121	25	tris(1,3-dichloro-2-propyl)phosphate	4363
129	25	Methyl Methanesulfonate	4363
141	25	Phenylmercuric Acetate	4363
149	25	Silicon Dioxide	4363
150	25	potassium chromate(VI)	4363
178	25	Lead	4363
59	29	butyraldehyde	836
73	29	ICG 001	836
129	29	Methyl Methanesulfonate	836
9	30	methylmercuric chloride	54658
23	30	Nickel	54658
59	30	butyraldehyde	54658
65	30	cobaltous chloride	54658
73	30	ICG 001	54658
98	30	dicrotophos	54658
121	30	tris(1,3-dichloro-2-propyl)phosphate	54658
129	30	Methyl Methanesulfonate	54658
141	30	Phenylmercuric Acetate	54658
144	30	Arsenic Trioxide	54658
149	30	Silicon Dioxide	54658
150	30	potassium chromate(VI)	54658
166	30	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	54658
178	30	Lead	54658
187	30	sodium arsenite	54658
10	31	Aflatoxin B1	3558
59	31	butyraldehyde	3558
73	31	ICG 001	3558
98	31	dicrotophos	3558
121	31	tris(1,3-dichloro-2-propyl)phosphate	3558
129	31	Methyl Methanesulfonate	3558
141	31	Phenylmercuric Acetate	3558
144	31	Arsenic Trioxide	3558
150	31	potassium chromate(VI)	3558
166	31	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	3558
178	31	Lead	3558
186	31	abrine	3558
17	33	Arsenic	901
73	33	ICG 001	901
121	33	tris(1,3-dichloro-2-propyl)phosphate	901
150	33	potassium chromate(VI)	901
178	33	Lead	901
186	33	abrine	901
9	38	methylmercuric chloride	8856
17	38	Arsenic	8856
23	38	Nickel	8856
59	38	butyraldehyde	8856
65	38	cobaltous chloride	8856
73	38	ICG 001	8856
98	38	dicrotophos	8856
129	38	Methyl Methanesulfonate	8856
141	38	Phenylmercuric Acetate	8856
144	38	Arsenic Trioxide	8856
149	38	Silicon Dioxide	8856
150	38	potassium chromate(VI)	8856
178	38	Lead	8856
186	38	abrine	8856
9	39	methylmercuric chloride	5243
73	39	ICG 001	5243
129	39	Methyl Methanesulfonate	5243
141	39	Phenylmercuric Acetate	5243
149	39	Silicon Dioxide	5243
150	39	potassium chromate(VI)	5243
166	39	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	5243
186	39	abrine	5243
9	42	methylmercuric chloride	196
17	42	Arsenic	196
59	42	butyraldehyde	196
98	42	dicrotophos	196
129	42	Methyl Methanesulfonate	196
141	42	Phenylmercuric Acetate	196
144	42	Arsenic Trioxide	196
149	42	Silicon Dioxide	196
150	42	potassium chromate(VI)	196
178	42	Lead	196
9	44	methylmercuric chloride	57491
23	44	Nickel	57491
59	44	butyraldehyde	57491
73	44	ICG 001	57491
98	44	dicrotophos	57491
121	44	tris(1,3-dichloro-2-propyl)phosphate	57491
129	44	Methyl Methanesulfonate	57491
141	44	Phenylmercuric Acetate	57491
