chem_index	gene_index	chemName	geneid
71	0	Butyrates	6566
11	1	4-(4-(dimethylamino)styryl)-1-methylpyridinium iodide	6581
144	2	Arsenic Trioxide	366
51	3	Calcimycin	3569
55	3	Tetrachlorodibenzodioxin	3569
149	3	Silicon Dioxide	3569
154	3	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	3569
181	3	Mustard Gas	3569
187	3	sodium arsenite	3569
36	4	Rifampin	10599
49	4	Atorvastatin	10599
55	6	Tetrachlorodibenzodioxin	1728
66	6	2,6-Dichloroindophenol	1728
185	6	Benzo(a)pyrene	1728
144	10	Arsenic Trioxide	5300
68	13	3-methyladenine	8678
144	14	Arsenic Trioxide	332
16	15	15-deoxyprostaglandin J2	5468
44	17	salinomycin	1890
9	19	methylmercuric chloride	9241
70	19	mercuric bromide	9241
81	19	Mercuric Chloride	9241
97	19	p-Chloromercuribenzoic Acid	9241
141	19	Phenylmercuric Acetate	9241
144	21	Arsenic Trioxide	842
196	21	benzyloxycarbonyl-leucyl-glutamyl-histidyl-aspartic acid fluoromethyl ketone	842
154	23	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	1950
144	24	Arsenic Trioxide	4170
4	25	Vincristine	4363
105	25	verlukast	4363
3	29	Oxidopamine	836
5	29	Paraquat	836
14	29	Cadmium Chloride	836
18	29	tert-Butylhydroperoxide	836
31	29	benzyloxycarbonyl-valyl-alanyl-aspartic acid	836
38	29	Cadmium	836
65	29	cobaltous chloride	836
68	29	3-methyladenine	836
124	29	benzoylcarbonyl-aspartyl-glutamyl-valyl-aspartyl-fluoromethyl ketone	836
144	29	Arsenic Trioxide	836
149	29	Silicon Dioxide	836
154	29	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	836
157	29	benzyloxycarbonyl-isoleucyl-glutamyl-threonyl-aspartic acid fluoromethyl ketone	836
181	29	Mustard Gas	836
185	29	Benzo(a)pyrene	836
187	29	sodium arsenite	836
55	30	Tetrachlorodibenzodioxin	54658
185	30	Benzo(a)pyrene	54658
88	31	Ionomycin	3558
